Commune,Village,Nom du site,Etat,Ha,Long,Lat
Befandefa,Ambatomilo,Ambatobe,Ranching,93.098,43.25196822,-22.42257693
Befandefa,Ambatomilo,Ankaramainty,Ranching,55.589,43.24898912,-22.42905877
Befandefa,Ambatomilo,Ambatomanoko,Ranching,31.34,43.24820817,-22.4333303
,,,,,,
Befandefa,Andavadoaka,Nosinkara,Zone de collecte,13.487,43.22911914,-22.08852584
,,,,,,
Befandefa,Belavenoke,Ankoalaka,Zone de collecte,10.801,43.26077401,-21.94164472
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Belalanda,Mangily/Madiorano/ Betsibaroka/Ambolo mailaky,Andanambe,,92.274,43.58137384,-23.12929334
Tsifota,Andravona,Betanatana,Zone de collecte,69.921,43.25328681,-22.49507624
Tsifota,Andravona,Ambatomanoko,Zone de collecte,186.445,43.25031786,-22.48491374
Tsifota,Andravona,Kelibontana,Ranching,176.736,43.24775772,-22.47352955
Tsifota,Andravona,Ankarahake,Ranching,112.497,43.24565413,-22.4508652
Tsifota,Andravona,Sambarea,Zone de collecte,139.184,43.24675601,-22.46227227
Tsifota,Andravona,Ankaratapake,Zone de collecte,92.886,43.24713949,-22.43992029
Tsifota,Ankaramifoke,Beangivola,Zone de collecte,152.95,43.28334828,-22.64312934
Tsifota,Ankaramifoke,Ankara,Zone de collecte,27.829,43.2856969,-22.65087013
Tsifota,Ankaramifoke,Anjokozoko,Zone de collecte,180.764,43.27618056,-22.62945488
Tsifota,Bekodoy,Andamabe,Zone de collecte,66.428,43.25032233,-22.50504682
Tsifota,Bekodoy,Ambalany,Zone de collecte,28.921,43.25136019,-22.49991838
Tsifota,Bekodoy,Tsibekoe,Zone de collecte,40.637,43.24905653,-22.51142859
Tsifota,Bekodoy,Mahasaka,Ranching,81.38,43.25030886,-22.51929724
Tsifota,Bekodoy,Nangantsambo,Ranching,36.502,43.25098707,-22.52573664
Tsifota,Bekodoy,Andagnahitse,Ranching,33.448,43.25007746,-22.53006076
Tsifota,Salary Nord I,Anjokozoko,Ranching,40.706,43.26873626,-22.61757885
Tsifota,Salary Nord I,Beamena,Zone de collecte,176.851,43.26653435,-22.61103614
Tsifota,Salary Nord I,Nandoaha,Ranching,169.566,43.26106975,-22.6001507
Tsifota,Salary Nord I,Belamera,Ranching,91.663,43.25503919,-22.58827765
Tsifota,Salary Nord II,Belamera,Zone de collecte,61.191,43.26078222,-22.57306211
Tsifota,Salary Nord II,Bekoromaky,Zone de collecte,35.396,43.26035077,-22.56556518
Tsifota,Salary Nord II,Nagnahofa,Zone de collecte,14.991,43.25994783,-22.56157625
Tsifota,Salary Nord II,Marerano,Zone de collecte,13.883,43.25907083,-22.55851306
Tsifota,Salary Nord II,Ananosy,Zone de collecte,45.922,43.24481308,-22.54162191
Tsifota,Salary Nord II,Angagnivavany,Ranching,45.8,43.25774075,-22.55273332
Tsifota,Salary Nord II,Andanahitse,Zone de collecte,85.7,43.25221201,-22.54000768
Tsifota,Tsandamba,Ambatobe,,63.396,43.28779043,-22.6539063
Tsifota,Tsandamba,Behafotia,,30.462,43.28842021,-22.65801966
Tsifota,Tsandamba,Tampoloandrefa,,64.354,43.28962329,-22.66330422
Tsifota,Tsandamba,Ankorakorake,,47.776,43.29230859,-22.66826238
Tsifota,Tsandamba,Badiga,,84.717,43.29548593,-22.67345324
Tsifota,Tsandamba,Asiransy,,33.555,43.2971477,-22.67795033
Tsifota,Tsandamba,Ankiahia,,168.902,43.30173985,-22.68641043
Tsifota,Tsandamba,Tsandamba,,109.059,43.30732728,-22.70057962
Tsifota,Tsandamba,Maromalinike,,39.799,43.31164474,-22.70677712
Tsifota,Tsandamba,Ankaramanivala,,54.456,43.33893661,-22.76749593
Tsifota,Tsandamba,Andakanalika,,281.687,43.33071473,-22.75050434
Tsifota,Tsandamba,Pasy Ankasy,,90.666,43.33727498,-22.76321922
Tsifota,Tsandamba,Ambatomanoko,,111.52,43.323198,-22.72624529
Tsifota,Tsandamba,Antsoripasy,,39.651,43.32483823,-22.73302087
Tsifota,Tsandamba,Nosive,,42.325,43.32696687,-22.73685291
Tsifota,Tsandamba,Ravinony,,58.988,43.3214557,-22.71898851
Tsifota,Tsandamba,Antsalova,,124.802,43.31860772,-22.7119398